@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
1,1,-16.722906
1,3,-18.006149
1,5,-17.914953
3,1,-13.555696
3,3,-13.254635
3,5,-12.942674
5,1,-9.047807
5,3,-8.61326
5,5,-7.883531
7,1,-4.243359
7,3,-3.579711
7,5,-3.161741
9,1,-0.272786
9,3,0.255996
9,5,1.492314
11,1,2.741578
11,3,3.679198
11,5,5.318178
13,1,6.857739
13,3,8.655661
13,5,10.089229
15,1,12.847962
15,3,14.544897
15,5,16.065548
17,1,18.46627
17,3,20.802725
17,5,22.449053
19,1,25.539991
19,3,26.150902
19,5,26.165607
21,1,26.066252
21,3,26.813519
21,5,26.876846
23,1,26.294399
23,3,26.331806
23,5,26.612425
25,1,26.479879
25,3,26.552046
25,5,26.12813
